SS-A	
16024.45345	258.0515271
16072.30666	258.0014072
15645.80039	263.1514795
15645.80039	263.1514795
15647.71961	263.1646977
15643.79775	263.2386811
15648.87733	263.161778
15648.80575	263.192735
15647.22551	263.2589191
15642.40078	263.3329494
15639.03894	263.3954517
15635.51598	263.4664302
15632.922	263.5343526
15635.73536	263.5245902
15632.77578	263.5884766
15631.39797	263.646552
15630.69484	263.6928013
15629.69068	263.745928
15624.33856	263.8175549
15623.4149	263.8550588
	
15679.13563	262.8986425
9491.4	342.07
6187.73563	79.1713575
