SS-B	
12.16385692	9.902141433
12.09600159	9.768964063
12.21013568	9.89311839
12.46490243	10.15363842
12.46490243	10.15363842
12.53546865	10.17822909
12.51995801	10.18227882
12.42938436	10.14329145
12.42938436	10.14329145
12.42938436	10.14329145
12.50170595	10.24906172
12.50170595	10.24906172
12.50170595	10.24906172
12.50170595	10.24906172
12.50778593	10.25151047
12.50778593	10.25151047
12.50778593	10.25151047
12.53094121	10.28432512
12.50918242	10.25282804
12.50918242	10.25282804
	
12.44114332	10.16013212
16.13979114	11.91089241
3.69864782	1.75076029
