SS-C	
7878.261949	400.0925831
7876.654876	400.188692
7875.877304	400.2605267
7873.614419	400.3752093
7874.724205	400.3331187
7875.482919	400.3369798
7875.271484	400.3636597
7874.553888	400.4310575
7224.709275	1492.315167
7254.775025	1283.619158
7252.70415	1284.353707
7197.784465	1661.640815
7288.068205	1058.822247
7287.319619	1059.345
7292.427829	1020.191402
7292.477489	1020.652885
7290.913326	1021.193506
7301.073122	974.9177938
7300.729812	975.357886
7298.950845	975.8469458
	
7514.31871	851.531917
7804.2	374.97
289.88129	476.561917
