SS-D	
21229.94592	1128.253017
20565.23575	8980.125166
20531.35506	9029.312992
20537.02373	9080.58796
20504.756	9044.053625
29441.21296	26901.54811
29441.21296	26901.54811
29441.21296	26901.54811
29131.5	26901.54811
29131.5	26901.54811
29131.5	26901.54811
29131.5	26901.54811
28884.93269	26711.73173
17954.17613	4312.302837
17954.17613	4312.302837
17902.26818	4340.006095
17806.45948	4185.973456
17753.8375	4210.464531
17787.32649	4238.287395
17762.39533	4255.641977
	
23101.17636	14106.99402
21145	41498
1956.17636	27391.00598
