SS-E	
43184.9162	3632.678843
42964.55521	3468.841897
41653.40295	1133.313335
41653.40295	1133.313335
41638.97679	1134.769695
41618.08128	1136.511478
41675.08172	1138.28423
41693.06776	1140.06037
41673.22618	1141.818184
41727.24019	1143.608442
41746.74214	1145.401258
41746.74214	1145.401258
41746.74214	1145.401258
41746.74214	1145.401258
41721.36693	1147.179223
41742.62461	1148.983191
41738.26224	1149.925692
41738.26224	1149.925692
41716.59968	1150.453233
41703.81775	1152.244455
	
41841.49266	1384.175816
55855	791.55
14013.50734	592.625816
