SS-F	
22823.52581	1283.460219
22485.13111	11987.82418
22456.31061	12053.3727
22464.52022	12121.06356
22562.28531	12189.53262
32333.15741	36561.87074
32333.15741	36561.87074
32333.15741	36561.87074
31868.42453	35887.20792
31868.42453	35887.20792
31868.42453	35887.20792
31868.42453	35887.20792
31442.70192	34861.30808
19249.3	5366.675464
19249.3	5366.675464
19167.36688	5401.308856
19064.85294	5255.774927
18983.17434	5288.098118
19011.89073	5323.068438
18997.23667	5346.381561
	
25121.53834	18753.94941
21202	45261
3919.53834	26507.05059
