SS-G	
20316.57955	889.7563045
19724.74056	12122.80056
19701.13017	12188.18318
19711.74326	12256.62323
19797.29887	12325.85689
28271.62778	36688.27333
28271.62778	36688.27333
28271.62778	36688.27333
27812.39434	35822.46717
27812.39434	35822.46717
27812.39434	35822.46717
27812.39434	35822.46717
27721.61346	34977.43769
17088.52774	5663.124779
17088.52774	5663.124779
17015.10909	5699.658959
16934.74379	5519.264573
16857.17632	5552.949669
16884.77351	5589.664286
16878.00533	5614.729381
	
22089.2215	18870.89315
20186	46405
1903.22	27534.11
