SS-H	
7.872483125	5.003198727
8.037024562	5.042492375
8.005999947	5.040596479
7.792478895	4.998100948
7.754045849	4.995500326
9.370940765	5.103029776
9.370940765	5.103029776
9.370940765	5.103029776
9.370940765	5.103029776
9.376993181	5.10286586
9.376993181	5.10286586
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
9.383866723	5.102647169
	
9.007729115	5.08107821
6.951937423	4.79503586
2.05	0.29
