SS-I	
12838.45767	163.3113302
12838.45767	163.3113302
12778.55739	163.9269208
12777.11515	163.9515093
12771.85391	163.9313244
12771.85391	163.9313244
12772.47523	163.9318049
12772.47523	163.9318049
12769.29567	163.8963801
12769.29567	163.8963801
12771.05012	163.8752869
12771.78875	163.9741055
12770.07723	164.0025258
12770.00094	164.1103984
12774.94	164.1730224
12776.22615	164.2707998
12774.89033	164.293855
12768.34947	164.2797391
12768.90189	164.2775284
12775.0187	164.164768
	
12779.05405	163.9721069
14748	65.825
1968.65	98.15
