SS-J	
27964.93664	2429.415457
27948.46888	2451.050413
27079.96876	2532.670484
27960.54304	2438.874892
28520.92617	2404.310807
28520.92617	2404.310807
28528.86172	2405.139336
28536.7977	2405.968193
28536.7977	2406.739303
28533.66818	2407.576447
28533.66818	2407.576447
28511.68548	2408.382886
28511.68548	2408.853995
28511.68548	2408.853995
28507.77558	2409.692897
28486.21187	2410.499018
28486.21187	2410.957755
28482.17215	2411.776181
28482.17215	2412.503788
28482.17215	2413.284313
	
28356.36677	2419.421871
11968	21.364
16388.37	2398.06
