SS-B	
10.57837269	8.177039855
11.7903485	9.962558736
12.30777003	9.873365398
11.35480034	9.057947231
10.76321237	8.438053168
12.43931146	9.998033505
11.47522678	9.330080673
10.88034881	9.129408807
12.71123677	11.29721127
10.07146236	7.804959873
10.75154406	8.522529897
14.2209073	10.258294
8.781359714	5.841435146
12.35066299	9.859624439
12.50779464	10.27668784
9.477758266	6.860690304
11.67065625	9.510868147
12.71231204	10.70674724
11.97835296	9.557560706
13.32080055	10.78326081
	
11.60721194	9.262317852
16.13979114	11.91089241
4.5325792	2.648574558
