SS-H	
9.766851864	5.117965171
9.682815552	5.121427207
9.746890481	5.104194403
9.740247934	5.121424796
9.702370112	5.117968127
8.902718788	5.117955552
9.740247934	5.121424796
8.797687462	5.118824889
8.947271652	5.114503927
8.830730684	5.115372185
9.766851864	5.117965171
9.702370112	5.117968127
9.824529208	5.104190483
9.682815552	5.121427207
9.746890481	5.104194403
9.824529208	5.104190483
9.682815552	5.121427207
8.830730684	5.115372185
8.947271652	5.114503927
9.740247934	5.121424796
	
9.480344236	5.115686252
6.951937423	4.79503586
2.53	0.32
