SS-A	
18873.60338	186.5462025
19310.52891	182.9554082
18881.91796	186.4837341
18355.14046	212.3071938
18355.14046	212.3071938
18395.3401	190.7668854
17996.0828	194.2931635
18398.51135	190.7279928
18488.09236	189.9919951
18617.14323	188.8452516
18962.86303	185.997349
19311.03787	182.9759036
19408.70652	182.3229529
19311.64138	182.9872586
19408.67877	182.3239927
19363.50355	182.635
19339.19965	182.7669877
19314.76298	182.9784602
19330.23993	182.819387
19309.31369	182.9968804
	
18936.57242	188.3014597
9491.4	342.07
9445.17242	153.7685403
