SS-B	
13.29287852	11.05882177
13.35682507	11.09287516
13.14947895	10.77005794
13.272427	11.02710262
13.24634772	10.87170931
13.34177804	11.10370628
13.13342526	10.77325847
13.24374291	11.03204274
13.11253557	10.76805463
12.9911249	10.59020737
13.07684646	10.74473922
12.96462515	10.57217276
12.99522209	10.63884025
13.02415271	10.72688148
13.06818565	10.77971704
13.04132973	10.83001122
13.02646535	10.74940929
12.9695102	10.67101267
12.93132318	10.63249515
12.92912244	10.60439446
	
13.10836735	10.80187549
16.13979114	11.91089241
3.03142379	1.10901692
