SS-C	
8205.558435	6583.500626
8203.066923	6592.485783
8139.46082	7425.328939
8135.184589	7436.879678
8135.184589	7436.879678
8198.3964	6610.521786
8291.656117	6648.131051
8291.919029	6694.431382
8303.570658	6913.61245
8299.649371	7204.847968
8289.787087	7306.479984
8300.015667	7306.307463
8302.795754	7271.93323
8309.505032	7181.829272
8316.190049	7209.796831
8322.736532	7120.352496
8314.300395	7221.211414
8218.033141	7153.705224
8218.033141	7153.705224
8215.55069	7164.709551
	
8250.529721	7081.832501
7804.2	374.97
446.329721	6706.862501
