SS-D	
24963.92617	9769.933079
25952.68657	10678.27265
28681.93684	13731.67547
27410.07207	11944.23348
26458.392	11388.81929
27304.78182	11388.71268
27824.01942	12097.41189
28355.375	12847.30519
28171.15789	12847.30519
27844.25773	13825.79766
28211.48352	14721.54987
28144.27326	16981.56521
28311.21875	17770.1801
28412.33974	17873.03472
28783.56849	18986.88263
29827.10938	19568.10045
29847.43548	19745.16515
29783.71429	19435.73697
29783.71429	19435.73697
29983.83607	20042.05146
	
28202.76494	15253.9735
21145	41498
7057.76494	26244.0265
