SS-E	
61317.74483	15294.59414
61016.95671	10080.80857
59685.94024	9730.416295
58448.02488	11956.01711
59691.9	9766.32572
59691.9	9766.32572
59059.14769	7622.079228
59059.14769	7622.079228
58844.6393	7276.046713
58844.6393	7276.046713
58637.71268	7004.740527
58855.00294	7110.308615
58810.40118	7050.572062
58967.76708	7356.707295
58971.21807	7379.574318
58971.21807	7379.574318
58758.33828	7040.948178
58986.93438	7399.857769
58998.08777	7420.495191
58998.08777	7420.495191
	
59230.74044	8447.700645
55855	791.55
3375.74044	7656.150645
