SS-F	
27529.26712	12536.18095
28481.0597	13651.63766
31147.41584	15284.70139
30338.46364	15005.17462
28938.76378	13964.49776
30263.57798	14474.24962
31564.42105	15463.26264
29940.42342	15592.45698
29497.21226	18425.15218
29497.21226	18425.15218
29525.65238	18597.70287
29376.56542	18269.06917
29555.845	18628.93914
30074.63978	19510.71169
31215.46296	22145.04086
31511.20395	23594.16404
31617.86986	24172.68585
31696.44366	24842.57503
31619.78472	24503.65857
31846.25	25171.38181
	
30261.87674	18612.91975
21202	45261
9059.87674	26648.08025
