SS-G	
24263.4589	12730.85188
24887.36496	13559.24583
25954.625	14906.92237
25822.13934	14663.55946
25362.06202	14326.62361
25738.49587	14203.81201
26648.85185	14864.71014
27899.29032	16376.88861
27525.08602	15510.73485
25536.96372	17452.72514
25884.94245	18575.76644
26671.52021	20730.68545
26608.49355	20095.91862
26695.91196	19759.83078
27268.74881	21560.38218
27665.96026	23061.23595
27860.70135	23836.74262
28143.88088	25920.04446
27848.86164	24157.80581
28296.77463	26279.59885
	
26629.20669	18628.70425
20186	46405
6,443.21	27,776.30
