SS-H	
8.019777769	5.045642367
8.135629592	5.066362186
8.055486729	5.049187262
8.181248408	5.068463064
8.169466067	5.069331362
8.161499277	5.069155286
8.226393606	5.074717385
8.253497996	5.078786729
8.238416736	5.077709642
8.239529047	5.07850975
8.365457368	5.087473536
8.483410319	5.093199401
8.522313357	5.09361847
8.512271596	5.093479185
8.457073163	5.091689428
8.412719971	5.090830711
8.461509763	5.091764008
8.499941257	5.093770538
8.465840251	5.092173936
8.445226434	5.091969187
	
8.315335435	5.079891672
6.951937423	4.79503586
1.36	0.28
