SS-I	
12800.94319	163.752983
12889.36076	162.7398641
12802.34	163.6114062
12890.87355	162.5986865
12899.25237	162.6083069
12898.33982	162.46749
12906.72003	162.4773257
12899.28512	162.3480537
12806.41885	163.3123474
13112.04847	158.6171241
12808.21513	163.303131
13116.15956	158.5613072
13148.08669	157.9985412
13174.72491	157.6383835
13151.05536	158.1190404
13134.34462	158.1157691
13124.78362	158.6556603
13117.18954	158.8744477
13062.66805	159.4426639
12973.61984	160.2231561
	
12985.82147	160.7732844
14748	65.825
1762.18	94.73
