SS-J	
27612.79237	2489.160187
37848.34789	850.6115672
34177.55062	1623.455485
34647.06831	1581.543509
27597.25551	2466.947824
34038.47918	1619.683968
27593.37639	2469.499894
30346.56748	2036.980476
29579.58767	2156.03588
31703.04212	1938.196669
28366.00303	2194.400274
27893.13591	2263.025133
28776.31607	2179.372614
27893.13591	2263.940645
29180.29955	2129.301277
27860.59555	2267.908009
27860.59555	2361.029833
27860.59555	2270.34871
27860.59555	2313.502027
27860.59555	2270.366559
	
29827.79679	2087.265527
11968	21.364
17,859.80	2059.95
